make,body-style,engine-size,horsepower,width,fuel-type,drive-wheels,curb-weight,num-of-cylinders,city-mpg,highway-mpg,price
alfa-romero,convertible,130,111.0,64.1,gas,rwd,2548,four,21,27,13495.0
alfa-romero,convertible,130,111.0,64.1,gas,rwd,2548,four,21,27,16500.0
alfa-romero,hatchback,152,154.0,65.5,gas,rwd,2823,six,19,26,16500.0
audi,sedan,109,102.0,66.2,gas,fwd,2337,four,24,30,13950.0
audi,sedan,136,115.0,66.4,gas,4wd,2824,five,18,22,17450.0
audi,sedan,136,110.0,66.3,gas,fwd,2507,five,19,25,15250.0
audi,sedan,136,110.0,71.4,gas,fwd,2844,five,19,25,17710.0
audi,wagon,136,110.0,71.4,gas,fwd,2954,five,19,25,18920.0
audi,sedan,131,140.0,71.4,gas,fwd,3086,five,17,20,23875.0
audi,hatchback,131,160.0,67.9,gas,4wd,3053,five,16,22,
bmw,sedan,108,101.0,64.8,gas,rwd,2395,four,23,29,16430.0
bmw,sedan,108,101.0,64.8,gas,rwd,2395,four,23,29,16925.0
bmw,sedan,164,121.0,64.8,gas,rwd,2710,six,21,28,20970.0
bmw,sedan,164,121.0,64.8,gas,rwd,2765,six,21,28,21105.0
bmw,sedan,164,121.0,66.9,gas,rwd,3055,six,20,25,24565.0
bmw,sedan,209,182.0,66.9,gas,rwd,3230,six,16,22,30760.0
bmw,sedan,209,182.0,67.9,gas,rwd,3380,six,16,22,41315.0
bmw,sedan,209,182.0,70.9,gas,rwd,3505,six,15,20,36880.0
chevrolet,hatchback,61,48.0,60.3,gas,fwd,1488,three,47,53,5151.0
chevrolet,hatchback,90,70.0,63.6,gas,fwd,1874,four,38,43,6295.0
chevrolet,sedan,90,70.0,63.6,gas,fwd,1909,four,38,43,6575.0
dodge,hatchback,90,68.0,63.8,gas,fwd,1876,four,37,41,5572.0
dodge,hatchback,90,68.0,63.8,gas,fwd,1876,four,31,38,6377.0
dodge,hatchback,98,102.0,63.8,gas,fwd,2128,four,24,30,7957.0
dodge,hatchback,90,68.0,63.8,gas,fwd,1967,four,31,38,6229.0
dodge,sedan,90,68.0,63.8,gas,fwd,1989,four,31,38,6692.0
dodge,sedan,90,68.0,63.8,gas,fwd,1989,four,31,38,7609.0
dodge,sedan,98,102.0,63.8,gas,fwd,2191,four,24,30,8558.0
dodge,wagon,122,88.0,64.6,gas,fwd,2535,four,24,30,8921.0
dodge,hatchback,156,145.0,66.3,gas,fwd,2811,four,19,24,12964.0
honda,hatchback,92,58.0,63.9,gas,fwd,1713,four,49,54,6479.0
honda,hatchback,92,76.0,63.9,gas,fwd,1819,four,31,38,6855.0
honda,hatchback,79,60.0,64.0,gas,fwd,1837,four,38,42,5399.0
honda,hatchback,92,76.0,64.0,gas,fwd,1940,four,30,34,6529.0
honda,hatchback,92,76.0,64.0,gas,fwd,1956,four,30,34,7129.0
honda,sedan,92,76.0,64.0,gas,fwd,2010,four,30,34,7295.0
honda,wagon,92,76.0,63.9,gas,fwd,2024,four,30,34,7295.0
honda,hatchback,110,86.0,65.2,gas,fwd,2236,four,27,33,7895.0
honda,hatchback,110,86.0,65.2,gas,fwd,2289,four,27,33,9095.0
honda,sedan,110,86.0,65.2,gas,fwd,2304,four,27,33,8845.0
honda,sedan,110,86.0,62.5,gas,fwd,2372,four,27,33,10295.0
honda,sedan,110,101.0,65.2,gas,fwd,2465,four,24,28,12945.0
honda,sedan,110,100.0,66.0,gas,fwd,2293,four,25,31,10345.0
isuzu,sedan,111,78.0,61.8,gas,rwd,2337,four,24,29,6785.0
isuzu,sedan,90,70.0,63.6,gas,fwd,1874,four,38,43,
isuzu,sedan,90,70.0,63.6,gas,fwd,1909,four,38,43,
isuzu,hatchback,119,90.0,65.2,gas,rwd,2734,four,24,29,11048.0
jaguar,sedan,258,176.0,69.6,gas,rwd,4066,six,15,19,32250.0
jaguar,sedan,258,176.0,69.6,gas,rwd,4066,six,15,19,35550.0
jaguar,sedan,326,262.0,70.6,gas,rwd,3950,twelve,13,17,36000.0
mazda,hatchback,91,68.0,64.2,gas,fwd,1890,four,30,31,5195.0
mazda,hatchback,91,68.0,64.2,gas,fwd,1900,four,31,38,6095.0
mazda,hatchback,91,68.0,64.2,gas,fwd,1905,four,31,38,6795.0
mazda,sedan,91,68.0,64.2,gas,fwd,1945,four,31,38,6695.0
mazda,sedan,91,68.0,64.2,gas,fwd,1950,four,31,38,7395.0
mazda,hatchback,70,101.0,65.7,gas,rwd,2380,two,17,23,10945.0
mazda,hatchback,70,101.0,65.7,gas,rwd,2380,two,17,23,11845.0
mazda,hatchback,70,101.0,65.7,gas,rwd,2385,two,17,23,13645.0
mazda,hatchback,80,135.0,65.7,gas,rwd,2500,two,16,23,15645.0
mazda,hatchback,122,84.0,66.5,gas,fwd,2385,four,26,32,8845.0
mazda,sedan,122,84.0,66.5,gas,fwd,2410,four,26,32,8495.0
mazda,hatchback,122,84.0,66.5,gas,fwd,2385,four,26,32,10595.0
mazda,sedan,122,84.0,66.5,gas,fwd,2410,four,26,32,10245.0
mazda,sedan,122,64.0,66.5,diesel,fwd,2443,four,36,42,10795.0
mazda,hatchback,122,84.0,66.5,gas,fwd,2425,four,26,32,11245.0
mazda,sedan,140,120.0,66.1,gas,rwd,2670,four,19,27,18280.0
mazda,sedan,134,72.0,66.1,diesel,rwd,2700,four,31,39,18344.0
mercedes-benz,sedan,183,123.0,70.3,diesel,rwd,3515,five,22,25,25552.0
mercedes-benz,wagon,183,123.0,70.3,diesel,rwd,3750,five,22,25,28248.0
mercedes-benz,hardtop,183,123.0,70.3,diesel,rwd,3495,five,22,25,28176.0
mercedes-benz,sedan,183,123.0,71.7,diesel,rwd,3770,five,22,25,31600.0
mercedes-benz,sedan,234,155.0,71.7,gas,rwd,3740,eight,16,18,34184.0
mercedes-benz,convertible,234,155.0,70.5,gas,rwd,3685,eight,16,18,35056.0
mercedes-benz,sedan,308,184.0,71.7,gas,rwd,3900,eight,14,16,40960.0
mercedes-benz,hardtop,304,184.0,72.0,gas,rwd,3715,eight,14,16,45400.0
mercury,hatchback,140,175.0,68.0,gas,rwd,2910,four,19,24,16503.0
mitsubishi,hatchback,92,68.0,64.4,gas,fwd,1918,four,37,41,5389.0
mitsubishi,hatchback,92,68.0,64.4,gas,fwd,1944,four,31,38,6189.0
mitsubishi,hatchback,92,68.0,64.4,gas,fwd,2004,four,31,38,6669.0
mitsubishi,hatchback,98,102.0,63.8,gas,fwd,2145,four,24,30,7689.0
mitsubishi,hatchback,110,116.0,65.4,gas,fwd,2370,four,23,30,9959.0
mitsubishi,hatchback,122,88.0,65.4,gas,fwd,2328,four,25,32,8499.0
mitsubishi,hatchback,156,145.0,66.3,gas,fwd,2833,four,19,24,12629.0
mitsubishi,hatchback,156,145.0,66.3,gas,fwd,2921,four,19,24,14869.0
mitsubishi,hatchback,156,145.0,66.3,gas,fwd,2926,four,19,24,14489.0
mitsubishi,sedan,122,88.0,65.4,gas,fwd,2365,four,25,32,6989.0
mitsubishi,sedan,122,88.0,65.4,gas,fwd,2405,four,25,32,8189.0
mitsubishi,sedan,110,116.0,65.4,gas,fwd,2403,four,23,30,9279.0
mitsubishi,sedan,110,116.0,65.4,gas,fwd,2403,four,23,30,9279.0
nissan,sedan,97,69.0,63.8,gas,fwd,1889,four,31,37,5499.0
nissan,sedan,103,55.0,63.8,diesel,fwd,2017,four,45,50,7099.0
nissan,sedan,97,69.0,63.8,gas,fwd,1918,four,31,37,6649.0
nissan,sedan,97,69.0,63.8,gas,fwd,1938,four,31,37,6849.0
nissan,wagon,97,69.0,63.8,gas,fwd,2024,four,31,37,7349.0
nissan,sedan,97,69.0,63.8,gas,fwd,1951,four,31,37,7299.0
nissan,hatchback,97,69.0,63.8,gas,fwd,2028,four,31,37,7799.0
nissan,sedan,97,69.0,63.8,gas,fwd,1971,four,31,37,7499.0
nissan,wagon,97,69.0,63.8,gas,fwd,2037,four,31,37,7999.0
nissan,hardtop,97,69.0,63.8,gas,fwd,2008,four,31,37,8249.0
nissan,hatchback,120,97.0,65.2,gas,fwd,2324,four,27,34,8949.0
nissan,sedan,120,97.0,65.2,gas,fwd,2302,four,27,34,9549.0
nissan,sedan,181,152.0,66.5,gas,fwd,3095,six,17,22,13499.0
nissan,wagon,181,152.0,66.5,gas,fwd,3296,six,17,22,14399.0
nissan,sedan,181,152.0,66.5,gas,fwd,3060,six,19,25,13499.0
nissan,hatchback,181,160.0,67.9,gas,rwd,3071,six,19,25,17199.0
nissan,hatchback,181,200.0,67.9,gas,rwd,3139,six,17,23,19699.0
nissan,hatchback,181,160.0,67.9,gas,rwd,3139,six,19,25,18399.0
peugot,sedan,120,97.0,68.4,gas,rwd,3020,four,19,24,11900.0
peugot,sedan,152,95.0,68.4,diesel,rwd,3197,four,28,33,13200.0
peugot,wagon,120,97.0,68.4,gas,rwd,3230,four,19,24,12440.0
peugot,wagon,152,95.0,68.4,diesel,rwd,3430,four,25,25,13860.0
peugot,sedan,120,95.0,68.4,gas,rwd,3075,four,19,24,15580.0
peugot,sedan,152,95.0,68.4,diesel,rwd,3252,four,28,33,16900.0
peugot,wagon,120,95.0,68.4,gas,rwd,3285,four,19,24,16695.0
peugot,wagon,152,95.0,68.4,diesel,rwd,3485,four,25,25,17075.0
peugot,sedan,120,97.0,68.4,gas,rwd,3075,four,19,24,16630.0
peugot,sedan,152,95.0,68.4,diesel,rwd,3252,four,28,33,17950.0
peugot,sedan,134,142.0,68.3,gas,rwd,3130,four,18,24,18150.0
plymouth,hatchback,90,68.0,63.8,gas,fwd,1918,four,37,41,5572.0
plymouth,hatchback,98,102.0,63.8,gas,fwd,2128,four,24,30,7957.0
plymouth,hatchback,90,68.0,63.8,gas,fwd,1967,four,31,38,6229.0
plymouth,sedan,90,68.0,63.8,gas,fwd,1989,four,31,38,6692.0
plymouth,sedan,98,68.0,63.8,gas,fwd,2191,four,31,38,7609.0
plymouth,wagon,122,88.0,64.6,gas,fwd,2535,four,24,30,8921.0
plymouth,hatchback,156,145.0,66.3,gas,rwd,2818,four,19,24,12764.0
porsche,hatchback,151,143.0,68.3,gas,rwd,2778,four,19,27,22018.0
porsche,hardtop,194,207.0,65.0,gas,rwd,2756,six,17,25,32528.0
porsche,hardtop,194,207.0,65.0,gas,rwd,2756,six,17,25,34028.0
porsche,convertible,194,207.0,65.0,gas,rwd,2800,six,17,25,37028.0
porsche,hatchback,203,288.0,72.3,gas,rwd,3366,eight,17,28,
renault,wagon,132,,66.5,gas,fwd,2579,four,23,31,9295.0
renault,hatchback,132,,66.6,gas,fwd,2460,four,23,31,9895.0
saab,hatchback,121,110.0,66.5,gas,fwd,2658,four,21,28,11850.0
saab,sedan,121,110.0,66.5,gas,fwd,2695,four,21,28,12170.0
saab,hatchback,121,110.0,66.5,gas,fwd,2707,four,21,28,15040.0
saab,sedan,121,110.0,66.5,gas,fwd,2758,four,21,28,15510.0
saab,hatchback,121,160.0,66.5,gas,fwd,2808,four,19,26,18150.0
saab,sedan,121,160.0,66.5,gas,fwd,2847,four,19,26,18620.0
subaru,hatchback,97,69.0,63.4,gas,fwd,2050,four,31,36,5118.0
subaru,hatchback,108,73.0,63.6,gas,fwd,2120,four,26,31,7053.0
subaru,hatchback,108,73.0,63.8,gas,4wd,2240,four,26,31,7603.0
subaru,sedan,108,82.0,65.4,gas,fwd,2145,four,32,37,7126.0
subaru,sedan,108,82.0,65.4,gas,fwd,2190,four,28,33,7775.0
subaru,sedan,108,94.0,65.4,gas,fwd,2340,four,26,32,9960.0
subaru,sedan,108,82.0,65.4,gas,4wd,2385,four,24,25,9233.0
subaru,sedan,108,111.0,65.4,gas,4wd,2510,four,24,29,11259.0
subaru,wagon,108,82.0,65.4,gas,fwd,2290,four,28,32,7463.0
subaru,wagon,108,94.0,65.4,gas,fwd,2455,four,25,31,10198.0
subaru,wagon,108,82.0,65.4,gas,4wd,2420,four,23,29,8013.0
subaru,wagon,108,111.0,65.4,gas,4wd,2650,four,23,23,11694.0
toyota,hatchback,92,62.0,63.6,gas,fwd,1985,four,35,39,5348.0
toyota,hatchback,92,62.0,63.6,gas,fwd,2040,four,31,38,6338.0
toyota,hatchback,92,62.0,63.6,gas,fwd,2015,four,31,38,6488.0
toyota,wagon,92,62.0,63.6,gas,fwd,2280,four,31,37,6918.0
toyota,wagon,92,62.0,63.6,gas,4wd,2290,four,27,32,7898.0
toyota,wagon,92,62.0,63.6,gas,4wd,3110,four,27,32,8778.0
toyota,sedan,98,70.0,64.4,gas,fwd,2081,four,30,37,6938.0
toyota,hatchback,98,70.0,64.4,gas,fwd,2109,four,30,37,7198.0
toyota,sedan,110,56.0,64.4,diesel,fwd,2275,four,34,36,7898.0
toyota,hatchback,110,56.0,64.4,diesel,fwd,2275,four,38,47,7788.0
toyota,sedan,98,70.0,64.4,gas,fwd,2094,four,38,47,7738.0
toyota,hatchback,98,70.0,64.4,gas,fwd,2122,four,28,34,8358.0
toyota,sedan,98,70.0,64.4,gas,fwd,2140,four,28,34,9258.0
toyota,sedan,98,70.0,64.0,gas,rwd,2169,four,29,34,8058.0
toyota,hatchback,98,70.0,64.0,gas,rwd,2204,four,29,34,8238.0
toyota,sedan,98,112.0,64.0,gas,rwd,2265,four,26,29,9298.0
toyota,hatchback,98,112.0,64.0,gas,rwd,2300,four,26,29,9538.0
toyota,hardtop,146,116.0,65.6,gas,rwd,2540,four,24,30,8449.0
toyota,hardtop,146,116.0,65.6,gas,rwd,2536,four,24,30,9639.0
toyota,hatchback,146,116.0,65.6,gas,rwd,2551,four,24,30,9989.0
toyota,hardtop,146,116.0,65.6,gas,rwd,2679,four,24,30,11199.0
toyota,hatchback,146,116.0,65.6,gas,rwd,2714,four,24,30,11549.0
toyota,convertible,146,116.0,65.6,gas,rwd,2975,four,24,30,17669.0
toyota,sedan,122,92.0,66.5,gas,fwd,2326,four,29,34,8948.0
toyota,sedan,110,73.0,66.5,diesel,fwd,2480,four,30,33,10698.0
toyota,hatchback,122,92.0,66.5,gas,fwd,2414,four,27,32,9988.0
toyota,sedan,122,92.0,66.5,gas,fwd,2414,four,27,32,10898.0
toyota,hatchback,122,92.0,66.5,gas,fwd,2458,four,27,32,11248.0
toyota,hatchback,171,161.0,67.7,gas,rwd,2976,six,20,24,16558.0
toyota,hatchback,171,161.0,67.7,gas,rwd,3016,six,19,24,15998.0
toyota,sedan,171,156.0,66.5,gas,rwd,3131,six,20,24,15690.0
toyota,wagon,161,156.0,66.5,gas,rwd,3151,six,19,24,15750.0
volkswagen,sedan,97,52.0,65.5,diesel,fwd,2261,four,37,46,7775.0
volkswagen,sedan,109,85.0,65.5,gas,fwd,2209,four,27,34,7975.0
volkswagen,sedan,97,52.0,65.5,diesel,fwd,2264,four,37,46,7995.0
volkswagen,sedan,109,85.0,65.5,gas,fwd,2212,four,27,34,8195.0
volkswagen,sedan,109,85.0,65.5,gas,fwd,2275,four,27,34,8495.0
volkswagen,sedan,97,68.0,65.5,diesel,fwd,2319,four,37,42,9495.0
volkswagen,sedan,109,100.0,65.5,gas,fwd,2300,four,26,32,9995.0
volkswagen,convertible,109,90.0,64.2,gas,fwd,2254,four,24,29,11595.0
volkswagen,hatchback,109,90.0,64.0,gas,fwd,2221,four,24,29,9980.0
volkswagen,sedan,136,110.0,66.9,gas,fwd,2661,five,19,24,13295.0
volkswagen,sedan,97,68.0,66.9,diesel,fwd,2579,four,33,38,13845.0
volkswagen,wagon,109,88.0,66.9,gas,fwd,2563,four,25,31,12290.0
volvo,sedan,141,114.0,67.2,gas,rwd,2912,four,23,28,12940.0
volvo,wagon,141,114.0,67.2,gas,rwd,3034,four,23,28,13415.0
volvo,sedan,141,114.0,67.2,gas,rwd,2935,four,24,28,15985.0
volvo,wagon,141,114.0,67.2,gas,rwd,3042,four,24,28,16515.0
volvo,sedan,130,162.0,67.2,gas,rwd,3045,four,17,22,18420.0
volvo,wagon,130,162.0,67.2,gas,rwd,3157,four,17,22,18950.0
volvo,sedan,141,114.0,68.9,gas,rwd,2952,four,23,28,16845.0
volvo,sedan,141,160.0,68.8,gas,rwd,3049,four,19,25,19045.0
volvo,sedan,173,134.0,68.9,gas,rwd,3012,six,18,23,21485.0
volvo,sedan,145,106.0,68.9,diesel,rwd,3217,six,26,27,22470.0
volvo,sedan,141,114.0,68.9,gas,rwd,3062,four,19,25,22625.0
